BusID: 1
Time                 |StopName  |DriverID  |PassengersCount  |BusLoad
2024-12-17 17:52:00  |Stop C    |1         |132              |88%
2024-12-18 09:02:00  |Stop D    |3         |101              |67%
2024-12-18 09:14:00  |Stop E    |3         |138              |92%
2024-12-18 09:24:00  |Stop F    |3         |140              |93%
2024-12-18 09:32:00  |Stop G    |3         |103              |68%
2024-12-18 09:38:00  |Stop H    |3         |111              |74%
2024-12-18 09:45:00  |Stop I    |3         |147              |98%
2024-12-18 09:56:00  |Stop J    |3         |135              |90%
2024-12-18 10:05:00  |Stop A    |3         |107              |71%
2024-12-18 10:12:00  |Stop B    |3         |92               |61%
2024-12-18 10:21:00  |Stop C    |3         |81               |54%
2024-12-18 10:29:00  |Stop D    |3         |79               |52%
2024-12-18 10:41:00  |Stop E    |3         |65               |43%
2024-12-18 10:51:00  |Stop F    |3         |57               |38%
2024-12-18 10:59:00  |Stop G    |3         |49               |32%
2024-12-18 11:05:00  |Stop H    |3         |56               |37%
2024-12-18 11:12:00  |Stop I    |3         |48               |32%
2024-12-18 11:23:00  |Stop J    |3         |40               |26%
2024-12-18 11:32:00  |Stop A    |3         |45               |30%
2024-12-18 11:39:00  |Stop B    |3         |45               |30%
2024-12-18 11:48:00  |Stop C    |3         |41               |27%
2024-12-18 11:56:00  |Stop D    |3         |35               |23%
2024-12-18 12:08:00  |Stop E    |3         |33               |22%
2024-12-18 12:18:00  |Stop F    |3         |30               |20%
2024-12-18 12:26:00  |Stop G    |3         |33               |22%
2024-12-18 12:32:00  |Stop H    |3         |34               |22%
2024-12-18 12:39:00  |Stop I    |3         |40               |26%
2024-12-18 12:50:00  |Stop J    |3         |42               |28%
2024-12-18 12:59:00  |Stop A    |3         |44               |29%
2024-12-18 14:01:00  |Stop B    |3         |49               |32%
2024-12-18 14:10:00  |Stop C    |3         |43               |28%
2024-12-18 14:18:00  |Stop D    |3         |49               |32%
2024-12-18 14:30:00  |Stop E    |3         |46               |30%
2024-12-18 14:40:00  |Stop F    |3         |49               |32%
2024-12-18 14:48:00  |Stop G    |3         |53               |35%
2024-12-18 14:54:00  |Stop H    |3         |51               |34%
2024-12-18 15:01:00  |Stop I    |3         |37               |24%
2024-12-18 15:12:00  |Stop J    |3         |36               |24%
2024-12-18 15:21:00  |Stop A    |3         |46               |30%
2024-12-18 15:28:00  |Stop B    |3         |40               |26%
2024-12-18 15:37:00  |Stop C    |3         |37               |24%
2024-12-18 15:45:00  |Stop D    |3         |38               |25%
2024-12-18 15:57:00  |Stop E    |3         |41               |27%
2024-12-18 16:07:00  |Stop F    |3         |38               |25%
2024-12-18 16:15:00  |Stop G    |3         |50               |33%
