{'level':'info','time':'2024-12-16 11:29:00','message':'Bus 1 has coming to Stop H. Passengers: +3, -1. Load: 51/100.'}
{'level':'info','time':'2024-12-16 11:29:00','message':'Bus 3 has coming to Stop I. Passengers: +14, -9. Load: 30/150.'}
{'level':'info','time':'2024-12-16 11:30:00','message':'Bus 5 has coming to Stop J. Passengers: +5, -0. Load: 39/110.'}
{'level':'info','time':'2024-12-16 11:31:00','message':'Bus 7 has coming to Stop A. Passengers: +5, -5. Load: 45/85.'}
{'level':'info','time':'2024-12-16 11:33:00','message':'Bus 2 has coming to Stop I. Passengers: +14, -19. Load: 49/150.'}
{'level':'info','time':'2024-12-16 11:34:00','message':'Bus 6 has coming to Stop A. Passengers: +1, -0. Load: 38/90.'}
{'level':'info','time':'2024-12-16 11:36:00','message':'Bus 1 has coming to Stop I. Passengers: +6, -15. Load: 42/100.'}
{'level':'info','time':'2024-12-16 11:37:00','message':'Bus 4 has coming to Stop J. Passengers: +8, -8. Load: 46/80.'}
{'level':'info','time':'2024-12-16 11:38:00','message':'Bus 7 has coming to Stop B. Passengers: +16, -9. Load: 52/85.'}
{'level':'info','time':'2024-12-16 11:39:00','message':'Bus 5 has coming to Stop A. Passengers: +7, -12. Load: 34/110.'}
{'level':'info','time':'2024-12-16 11:40:00','message':'Bus 3 has coming to Stop J. Passengers: +9, -9. Load: 30/150.'}
{'level':'info','time':'2024-12-16 11:41:00','message':'Bus 6 has coming to Stop B. Passengers: +13, -11. Load: 40/90.'}
{'level':'info','time':'2024-12-16 11:44:00','message':'Bus 2 has coming to Stop J. Passengers: +10, -14. Load: 45/150.'}
{'level':'info','time':'2024-12-16 11:46:00','message':'Bus 4 has coming to Stop A. Passengers: +8, -3. Load: 51/80.'}
{'level':'info','time':'2024-12-16 11:46:00','message':'Bus 5 has coming to Stop B. Passengers: +3, -1. Load: 36/110.'}
{'level':'info','time':'2024-12-16 11:47:00','message':'Bus 1 has coming to Stop J. Passengers: +7, -1. Load: 48/100.'}
{'level':'info','time':'2024-12-16 11:47:00','message':'Bus 7 has coming to Stop C. Passengers: +3, -7. Load: 48/85.'}
